제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"R & J 씨어터 창작극 페스티벌, 절레절레동화","2026.05.06","2026.05.10","R&J씨어터(구. 연진아트홀) (R&J씨어터(구. 연진아트홀))","연극","박보해, 서이현, 도연아, 박서영, 김기린, 안성준, 김혜연 등","고해성, 강현우, 도솔빈 등","만 12세 이상","1시간 40분","극단 사색, 극단 사색, 알앤제이아트컴퍼니 (R&J Art Company)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290456_260430_130811.jpg","PF290456"
"늘근도둑 이야기 [군포]","2026.06.27","2026.06.27","군포문화예술회관 (철쭉홀)","연극","박철민, 최재섭, 이호연","","만 11세 이상","1시간 40분","(재) 군포문화재단, (주)나인스토리","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290453_260430_125524.gif","PF290453"
"제12회 무죽페스티벌: 첫째,둘째,셋째,넷째,","2026.05.13","2026.05.24","극장 동국 (극장 동국)","연극","오연재, 박지원, 심원석, 김미란, 오은진, 김이수, 김리한 등","이정운, 안근후, 이유리 등","만 11세 이상","1시간 20분","극단 작은곰","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290444_260430_113040.gif","PF290444"
"인형의 집 [춘천]","2026.06.05","2026.06.06","아트팩토리 봄 (아트팩토리 봄)","연극","원소연, 김대운, 이운, 김초에, 김경민","이지현, 이공주, 이현지 등","전체 관람가","1시간 20분","(사)문화프로덕션 도모","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290443_260430_113040.jpg","PF290443"
"눈이 부시게 [서울]","2026.06.16","2026.07.19","백암아트홀 (백암아트홀)","연극","송옥숙, 김선경, 임선애, 강세정, 신고은, 김나희, 서준영 등","이지영, 복영한, 김태형 등","만 7세 이상","1시간 40분","(주)T2N미디어 (티투엔미디어), (주)T2N미디어 (티투엔미디어), (주)스타도어엔터테인먼트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290432_260430_110352.gif","PF290432"
"고립 [부산]","2026.05.15","2026.05.17","소극장 6번출구 (소극장 6번출구)","연극","이태성, 서보기, 강승환, 이경진, 박미서, 박세은","허석민, 김승환, 신수진 등","만 15세 이상","1시간 10분","따뜻한사람","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290428_260430_105421.jpg","PF290428"
"화류비련극, 홍도 [밀양]","2026.06.05","2026.06.05","밀양아리랑아트센터 (대공연장)","연극","예지원, 유병훈, 양서빈, 견민성, 홍의준, 김윤아, 남슬기 등","고선웅","만 7세 이상","1시간 40분","극공작소 마방진","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290419_260430_103246.png","PF290419"
"은하백만년의전쟁사 Ⅰ: 보건 파시즘의 출현","2026.05.08","2026.05.17","극장 봄 (봄소극장) (극장 봄)","연극","강기림, 김시원, 원인진, 유은지, 이정진, 임지성","최치언, 손호성, 이동근 등","만 13세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290413_260430_101844.jpg","PF290413"
"갑신의 거 [구리]","2026.05.30","2026.05.30","구리아트홀 (코스모스대극장)","연극","허준, 김대종, 조민성, 김수지, 안연제, 김재훈, 이창근 등","위기훈, 김상윤, 손호성 등","만 6세 이상","1시간 40분","(재)구리문화재단(구리아트홀), 극단 전원, 예술공간 시옷(siot)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290393_260429_144445.gif","PF290393"
"감히 당신을 딛고","2026.05.07","2026.05.10","성미산마을극장 향 (성미산마을극장 향)","연극","이승현, 박영숙, 이재홍, 최영원, 조윤서, 이준호, 강선 등","안효정, 김보경, 성현겸 등","만 14세 이상","1시간 40분","극단 휘보(HWIBO), 극단 휘보(HWIBO)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290383_260429_141127.gif","PF290383"
"음이온 on Sync Next 26: 개기일식 기다리기","2026.08.07","2026.08.10","세종문화회관 (세종S씨어터)","연극","강상헌, 구자윤, 권혁재, 김경헌, 김도윤, 김동민, 김보우 등","김상훈, 정인혁, 허윤경 등","만 6세 이상","3시간","(재)세종문화회관, 경기문화재단, 백남준아트센터","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290375_260429_134539.png","PF290375"
"양떼목장의 대혈투","2026.05.22","2026.06.07","국립정동극장 세실 (구.세실극장) (국립정동극장 세실 (구.세실극장))","연극","정나무, 박수빈, 이승훈, 최지현, 권효은, 이주형, 김원태 등","주은길, 신혜원, 유태희 등","만 11세 이상","1시간 50분","(재)국립정동극장, 그린피그","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290364_260429_131146.gif","PF290364"
"노인의 꿈 [하남]","2026.07.11","2026.07.11","하남문화예술회관 (검단홀(대극장))","연극","김영옥, 하희라, 박지일, 강성진, 윤봄, 임로하","박수이, 윤희경, 성종완 등","만 7세 이상","1시간 45분","(주)수컴퍼니, (주)창라이프","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290361_260429_130202.gif","PF290361"
"신뺑파전 [김제]","2026.05.15","2026.05.15","김제문화예술회관 (대공연장)","연극","","","만 7세 이상","1시간 30분","김제시(김제시청)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290357_260429_125243.jpg","PF290357"
"노인의 꿈 [부산]","2026.07.04","2026.07.04","소향씨어터 (우리은행홀 (구. 신한카드홀))","연극","김영옥, 하희라, 박지일, 윤희석, 최서윤, 손지유","박수이, 윤희경, 성종완 등","만 7세 이상","1시간 45분","(주)공연마루, 수컴퍼니 (su company), 수컴퍼니 (su company)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290353_260429_124518.gif","PF290353"
"하붑 HABOOB","2026.05.22","2026.06.14","나온씨어터 (나온씨어터)","연극","김승환, 김섬, 정명군, 표경빈, 박세은, 정성준","박한별, 임예지, 조경훈","만 7세 이상","1시간 40분","극단 문지방","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290352_260429_123355.gif","PF290352"
"더 베터하프: 꿰맨 눈의 마을","2026.05.28","2026.06.07","연희예술극장 (연희예술극장)","연극","박성환, 곽유신, 장해준, 심은우, 최경식, 강다영, 전중용 등","장혜지, 신재철, 이홍주 등","만 11세 이상","1시간 40분","이방인(2roomperson)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290335_260429_111053.gif","PF290335"
"제47회 서울연극제, 버스를 놓치다!","2026.05.12","2026.05.17","열린극장 (열린극장)","연극","최정윤, 최용, 남상백, 이기석, 이광훈, 정서호, 박상민 등","이준석, 김면심, 최정윤 등","만 13세 이상","1시간 20분","극단 은행목, 극단 은행목","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290333_260429_105730.jpg","PF290333"
"재주 많은 세 친구 [김포]","2026.05.09","2026.05.23","김포한강괜찮은홀 (김포한강괜찮은홀)","연극","이훈선, 한선영, 송민주, 임연지","박정용, 이영순, 이동협 등","전체 관람가","50분","창작집단 탈무드","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290316_260429_101422.png","PF290316"
"호러스테이지: 악몽의 엘리베이터 [부산]","2026.08.08","2026.08.09","동래문화회관 (소극장)","연극","최현정, 김수령, 김수휘, 허다영 등","양재형, 김정환, 이태경 등","만 12세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290302_260428_161803.jpg","PF290302"
"두산인문극장, 신분류학: 원칙","2026.05.27","2026.06.14","두산아트센터 (Space111)","연극","박현숙, 오용, 박종태, 김현진, 김혜령, 김윤후","이준우, 서진호, 임예지 등","만 13세 이상","1시간 50분","극단 배다, 두산아트센터((재)두산연강재단)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290291_260428_133505.gif","PF290291"
"쪽빛황혼 [창녕]","2026.05.22","2026.05.22","창녕문화예술회관 (대공연장)","연극","이주행, 이동혁, 김황식, 임창숙, 류기형, 이신애, 이광백 등","류기형, 유민혁, 김선영 등","만 7세 이상","1시간 20분","(사)마당극패 우금치","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290290_260428_132720.jpg","PF290290"
"불편한 편의점 [거제]","2026.07.03","2026.07.04","거제문화예술회관 (대극장)","연극","","황기현, 홍현우, 김은지 등","만 7세 이상","1시간 40분","극단 지우","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290281_260428_124824.jpg","PF290281"
"죽은 시인의 사회 [대학로]","2026.07.18","2026.09.13","NOL 씨어터 대학로 (구. 대학로뮤지컬센터) (우리카드홀 )","연극","차인표, 오만석, 연정훈, 김락현, 이재환, 강찬희, 김태균 등","김용관, 조광화, 박설영 등","만 7세 이상","1시간 50분","(주)마스트엔터테인먼트 (마스트인터내셔널), (주)마스트엔터테인먼트 (마스트인터내셔널)","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290257_260529_101937.gif","PF290257"
"ASAC 우수소극장 시리즈, 닐 암스트롱이 달에 갔을 때","2026.06.26","2026.06.27","안산문화예술의전당 (별무리극장)","연극","이윤재, 김정아, 신강수, 김진복, 문현정, 송철호, 강정윤 등","이보람, 마두영 등","만 13세 이상","1시간 50분","(재)안산문화재단(안산문화예술의전당), 보편적 극단, 보편적 극단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290249_260428_103005.gif","PF290249"
"하늘 바람 바다 [구미]","2026.06.05","2026.06.06","강동문화복지회관 (천생아트홀 (대공연장) )","연극","황선영, 석민호, 박주희, 이지영, 남준우, 백광현, 김민우 등","정철원, 정창윤, 김신근 등","만 4세 이상","1시간 30분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290240_260428_100030.gif","PF290240"
"하프문베이","2026.05.02","2026.05.02","성수 소극장(일루미 스튜디오) (성수 소극장(일루미 스튜디오))","연극","권다솔, 김민성, 김한울, 남창우, 박민성, 이자민, 임만욱 등","박성재, 정훈, 김윤서 등","만 12세 이상","1시간","제고스테이지(JEGO STAGE)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290229_260427_155751.png","PF290229"
"사의 찬미 [안동]","2026.08.21","2026.08.21","안동문화예술의전당 (웅부홀)","연극","","전용석, 장용균, 이연우 등","만 13세 이상","1시간 40분","안동문화예술의전당","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290214_260427_145851.png","PF290214"
"제12회 무죽페스티벌, Tears in Heaven","2026.04.29","2026.05.10","극장 동국 (극장 동국)","연극","김형일, 홍성민, 한이연, 윤혁진, 김현주, 박주홍, 이예은","홍성민, 서희수, 이준수 등","만 14세 이상","1시간 30분","극단 신인류(구. 극단 로가로세), 극단 홍단이","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290212_260427_145454.gif","PF290212"
"국립 어린이 청소년 극단, 노란 달 [안동]","2026.07.16","2026.07.17","안동문화예술의전당 (웅부홀)","연극","홍지인, 김하람, 황순미, 이동혁","데이비드 그레이그, 이인수, 토니 그래함 등","만 12세 이상","1시간 30분","국립어린이청소년극단(구. (재) 국립극단 어린이청소년극연구소), 안동문화예술의전당","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290208_260608_183128.png","PF290208"
"ACC 레퍼토리 공연, 시간을 칠하는 사람 [광주] (5월)","2026.05.14","2026.05.18","국립아시아문화전당 (극장1)","연극","유독현, 오에바다, 김예린, 이종헌, 문숙경, 김채연, 박혜민 등","김민정, 윤시중, 박소연","만 6세 이상","1시간","극단 하땅세(하땅세 극장)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290200_260427_143059.jpg","PF290200"
"벚나무 동산","2026.05.20","2026.05.24","뜻밖의 극장(구. 해우소소극장) (뜻밖의 극장(구. 해우소소극장))","연극","김세민, 천승민, 오제희, 이강, 이예주, 김찬정","박창근, 임지민, 이예주 등","만 11세 이상","1시간 30분","줌 인 픽처스(Zoom In Pictures), 줌 인 픽처스(Zoom In Pictures)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290198_260427_142705.gif","PF290198"
"울프 플레이 WOLF PLAY","2026.05.22","2026.05.31","선돌극장 (선돌극장)","연극","박효진, 금해나, 김민제, 류선규, 임영우","정한솔, 폴 프라이스, 박효진 등","만 12세 이상","2시간","뉴욕액팅스튜디오 Seoul, 뉴욕액팅스튜디오 Seoul","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290186_260427_140107.gif","PF290186"
"홍도 [안성]","2026.06.19","2026.06.20","안성맞춤아트홀 (대공연장)","연극","최하윤, 정보석, 박하선, 유병훈, 견민성, 홍의준, 양서빈 등","고선웅","만 7세 이상","1시간 40분","극공작소 마방진, 안성시 문화예술사업소","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290175_260427_133316.gif","PF290175"
"당신이 좋아 [안동]","2026.06.20","2026.06.20","안동문화예술의전당 (백조홀)","연극","이정유, 박유진, 김인하, 박준수, 이경민","국민성, 이삼우, 이상현 등","만 7세 이상","1시간 40분","안동문화예술의전당","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290172_260427_132928.jpg","PF290172"
"신우맨숀 반상회 [대학로]","2026.05.09","2026.05.10","홍해성 소극장 (소극장)","연극","김성숙, 이상희, 김수영, 전우진, 김은지, 정윤서, 김정식 등","신하준, 김영식, 김수영 등","만 7세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290170_260427_132553.jpg","PF290170"
"염쟁이 유씨 [청주]","2026.09.03","2026.09.27","소명아트홀 (구.메가폴리스아트홀) (소명아트홀 (구.메가폴리스아트홀) )","연극","유순웅","김인경 등","만 11세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290168_260427_132128.jpg","PF290168"
"착하게, 차갑게 [대전]","2026.05.15","2026.05.17","드림아트홀 [대전] (드림아트홀 [대전] )","연극","강윤희, 이지현","신지원, 이준휘, 이지현 등","만 10세 이상","1시간 10분","창작집단 위드유","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290166_260427_131435.jpg","PF290166"
"제47회 서울연극제, 당신은 아들을 모른다","2026.06.19","2026.06.28","서울연극창작센터 (서울씨어터 202 (5F) )","연극","노윤정, 김시유, 성열석, 황윤희","김나영, 황재헌, 장우재 등","만 13세 이상","1시간 40분","극단 냇돌, 극단 냇돌","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290148_260427_114410.gif","PF290148"
"화이트 래빗 레드 래빗 (WHITE RABBIT RED RABBIT)","2026.05.27","2026.06.07","세종문화회관 (세종S씨어터)","연극","강기둥, 김경남, 김남희, 김세환, 김시유, 김주연, 류경수 등","낫심 술리만 푸어, 이길준, 정숙향 등","만 14세 이상","1시간 25분","(유)브러쉬씨어터, (유)브러쉬씨어터","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290141_260427_111917.gif","PF290141"
"길 위의 아이","2026.05.21","2026.05.24","서울문화재단 대학로극장 쿼드 (예술청) (대학로극장 쿼드 (예술청) )","연극","남기필, 권재훈","김지현, 정승진, 이영숙 등","만 11세 이상","1시간","극단 올리브와 찐콩","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290139_260427_111519.gif","PF290139"
"인사이드 더 플레이: 군체 [서울 신대방]","2026.05.21","2026.08.31","롯데시네마 [신대방]  (신대방관)","연극","","김정훈, 김기찬, 김영식 등","만 14세 이상","1시간 30분","롯데컬처웍스, 롯데컬처웍스, 주식회사 예잇","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290133_260427_105326.png","PF290133"
"일곱마리 아기염소와 늑대 [김포]","2026.06.03","2026.06.13","김포한강괜찮은홀 (김포한강괜찮은홀)","연극","","","전체 관람가","50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290120_260427_102612.png","PF290120"
"히스테릭 케이크","2026.05.12","2026.05.17","탈영역우정국 (탈영역우정국)","연극","이치호, 정주호, 정하나","김지연, 류시향, 주보배 등","전체 관람가","1시간 25분","젊은 TGNC의 슬픔","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290115_260424_153753.png","PF290115"
"서빛마루문예회관 공연나눔 기획공연, 무대공감 콘서트 #2. 질투 [광주]","2026.05.28","2026.05.28","서빛마루문화예술회관 (서빛마루문화예술회관)","연극","윤희철, 한중곤, 문진희, 정은희","차두옥, 김정순, 정은희 등","만 11세 이상","1시간 10분","광주광역시 서구청 (서빛마루문화예술회관)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290113_260424_152551.jpg","PF290113"
"회색공기가 피어오르는 곳 [대학로]","2026.05.14","2026.05.24","소극장 플랫폼74 (소극장 플랫폼74)","연극","최일선, 한수연, 김대성, 한겨울, 박수정, 정채운, 임정원  등","김용하, 장예림, 박주형 등","만 7세 이상","1시간 30분","심심한친구들, 심심한친구들","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290112_260424_152128.gif","PF290112"
"고시원 사람들 [대학로]","2026.05.14","2026.05.24","JS아트홀 (구. 고스트씨어터 구.다소니씨어터) (JS아트홀 (구. 고스트씨어터 구.다소니씨어터) )","연극","공찬호, 김태향, 윤영균, 이주한, 이광현, 한동희, 고수진 등","이원재, 이주한, 정태민 등","만 7세 이상","1시간 35분","달팽이주파수, 달팽이주파수","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290111_260424_151824.jpg","PF290111"
"제47회 서울연극제, 화성에서의 나날","2026.05.22","2026.05.31","대학로예술극장 (대극장)","연극","강희제, 백종승","윤성호, 서지영, 김성구 등","만 11세 이상","1시간 45분","제12언어연극스튜디오, 제12언어연극스튜디오","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290107_260424_150347.gif","PF290107"
"위험한 사람들: 보잉보잉 10년 후 [대학로]","2026.06.05","2026.07.26","대학로 스타릿홀 (공연장)","연극","박준석, 전성재, 노승민, 안상훈, 김남호, 이열, 정가은 등","손남목, 강신혜, 이소영 등","만 14세 이상","1시간 25분","극단 두레, 극단 두레","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290106_260424_145556.gif","PF290106"
"I AM 피노키오 [인천]","2026.05.16","2026.05.16","학산소극장 (학산소극장)","연극","장영주, 김미선, 김소연, 심영국","조민영, 신성진, 서민준 등","36개월 이상","1시간","극단 우주선","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290098_260424_142957.jpg","PF290098"
"목요예술무대 Ⅰ. 우리동네 명작극장, 파우스트 엔딩 (영상화)","2026.06.25","2026.06.25","강동아트센터 (소극장 드림)","연극","","","만 7세 이상","1시간 46분","국립극단 온라인극장","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290093_260424_141239.jpg","PF290093"
"다른 사막 도시들 [대학로]","2026.05.22","2026.05.24","연우소극장 (연우소극장)","연극","정여진, 정윤경, 김용준, 이은지, 김록현, 신윤재","박선희, 최은빈, 정한나 등","만 13세 이상","1시간 50분","(유)극단기일게, (유)극단기일게","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290070_260424_130608.gif","PF290070"
"전철 타고 온 붓다 [대학로]","2026.05.16","2026.05.25","한예극장 (한예극장)","연극","김영민, 이무현, 이웅호, 이성원, 배정아, 안미정, 강인기 등","민준기, 안준성, 임규양 등","만 13세 이상","1시간 30분","극단 미학, 극단 미학, 바람커뮤니케이션, 정유석프로젝트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290053_260424_111839.gif","PF290053"
"사랑해 엄마 [제주]","2026.05.16","2026.05.16","서귀포예술의전당 (대극장)","연극","조혜련, 정지환, 조지환, 이서주, 김연수, 유민정 등","조혜련, 현유진, 고요셉 등","만 7세 이상","1시간 40분","(주)조이컬쳐스, 안녕컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290051_260424_110907.jpg","PF290051"
"갈매기 과정공유회","2026.05.01","2026.05.02","서울문화재단 대학로극장 쿼드 (예술청) (렉처룸(아고라))","연극","임준식, 김다영, 김선구, 김주영, 김태훈, 송민경, 안주현 등","이윤화","만 13세 이상","2시간","극단 황금나무","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290050_260424_110643.jpeg","PF290050"
"평택아트센터 기획공연, The Nature Of Forgetting [평택]","2026.06.11","2026.06.13","평택아트센터 (소공연장)","연극","","","만 7세 이상","1시간 15분","(재) 평택시문화재단(평택아트센터), Theatre RE","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290027_260423_144603.gif","PF290027"
"이 극은 난극입니다","2026.05.14","2026.05.17","보광극장 (보광극장)","연극","전영준, 인치수, 방준식, 조연선, 송연규, 박소예, 서유민","강세영, 안치수, 김새얀 등","만 11세 이상","1시간 15분","창작예술집단 보광극장","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290004_260423_133157.gif","PF290004"
"갈매기 [서울 마포]","2026.05.14","2026.05.17","산울림소극장 (산울림소극장)","연극","여연수, 조재욱, 김정환, 이수민, 이서영, 시희수, 정진우 등","김진영, 고류연, 황가희 등","전체 관람가","1시간 35분","극단 자랑, 극단 자랑","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF290000_260423_132104.gif","PF290000"
"제47회 서울연극제, 가족같네","2026.05.27","2026.06.07","씨어터 쿰 (씨어터 쿰)","연극","손경원, 윤미애, 김한, 서찬양, 주광현, 연세호","김윤주, 조해민, 나보광 등","만 7세 이상","1시간 40분","공연집단 강철무지개, 협동조합 문화교차로","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289995_260423_130930.jpg","PF289995"
"싸움터의 산책 [부산]","2026.04.23","2026.04.26","가온아트홀 [부산] (2관)","연극","권철, 박창화, 송민정, 김상호, 김선현, 김휘준","김만중, 박창화, 서유리 등","만 13세 이상","1시간 10분","(사)한국연극배우협회 부산광역시지회, 극단 창","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289980_260423_111913.gif","PF289980"
"뜨거운 것들은 오래 남는다","2026.04.25","2026.04.26","골목실험극장 (골목실험극장)","연극","권윤서, 방소미, 이연주, 정은주","김영경, 이채원, 류수진 등","전체 관람가","1시간","창작집단 동막","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289975_260423_110812.jpg","PF289975"
"노인의 꿈 [여수]","2026.06.13","2026.06.13","GS칼텍스 예울마루 (대극장)","연극","손숙, 이일화, 남경읍, 이필모, 최서윤, 임로하","박수이, 윤희경, 성종완 등","만 7세 이상","1시간 45분","GS칼텍스 예울마루","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289974_260423_110242.gif","PF289974"
"상념 [대학로]","2026.05.14","2026.05.24","씨어터 쿰 (씨어터 쿰)","연극","박신운, 최지은, 김동현, 서신우, 서지유, 노시아","박문수, 김유정, 박현민 등","만 15세 이상","1시간 20분","극단 창작심, 극단 창작심, 홧김에 박문수 프로젝트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289970_260423_104918.gif","PF289970"
"집.사.람.","2026.05.08","2026.05.10","보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀))","연극","정종수, 최미선, 김지은, 장효주","양승희, 최미선, 강영주 등","만 19세 이상","1시간 10분","(주)창연","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289956_260423_100922.gif","PF289956"
"램 [인천]","2026.05.16","2026.05.17","인천아트플랫폼 (공연장 (C동) )","연극","나경호, 박동조, 장햇살, 하재성","김미란, 육다솔, 김주슬기 등","36개월 이상","50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289946_260422_150016.jpg","PF289946"
"빈칸의 미학 [대전]","2026.04.29","2026.05.03","드림아트홀 [대전] (드림아트홀 [대전] )","연극","최윤정, 엄선일, 박재완, 김민선, 손병제, 이진아","최석원, 김소중, 박주희 등","만 11세 이상","1시간 20분","극단 이화","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289943_260422_144310.jpg","PF289943"
"영원한 평화","2026.05.14","2026.06.07","지포캣(G4CAT) (지포캣(G4CAT)(2F))","연극","정대진, 김민정, 이석구, 허솔, 김승준, 김호수, 조새연 등","지대현, 허솔, 김홍희 등","만 13세 이상","1시간 30분","프로젝트 SOL (프로젝트솔)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289941_260422_143846.jpg","PF289941"
"스카프 [대전]","2026.05.15","2026.06.21","아신극장 (1관 (3층) )","연극","박상협, 전세기, 변나라, 이윤경, 정성조, 이태희, 류승주","","만 13세 이상","1시간 30분","(주)아신아트컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289939_260422_142807.gif","PF289939"
"시절인연","2026.05.25","2026.05.25","뜻밖의 극장(구. 해우소소극장) (뜻밖의 극장(구. 해우소소극장))","연극","김정익, 경수연, 장유진, 정영수","이용찬, 엄태준, 한희은 등","전체 관람가","1시간 20분","극단 갯티","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289931_260422_135907.gif","PF289931"
"다정한 배웅","2026.06.05","2026.07.26","KT&G 상상마당 대치아트홀 (KT&G 상상마당 대치아트홀)","연극","장용, 서인석, 정겨운, 금동현, 서권순, 방은희, 하지영 등","문승용, 유승봉, 최한결 등","만 12세 이상","1시간 30분","(주)문컴퍼니, (주)문컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289927_260611_115948.gif","PF289927"
"스테이지149, 쉬어매드니스","2026.05.15","2026.05.16","인천문화예술회관 (소공연장)","연극","이주훈, 문지원, 한상민, 이유경, 김록현, 임동건","","만 14세 이상","2시간","인천문화예술회관","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289924_260422_133343.jpg","PF289924"
"오버코트 [인천 연수]","2026.05.30","2026.05.30","트라이보울 (공연장 (2층) )","연극","","","36개월 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289905_260422_111619.jpg","PF289905"
"제47회 서울연극제, 조각상은 변하지 않는다.","2026.06.10","2026.06.21","공간아울 (공간아울)","연극","박지은, 최동균, 한기윤 등","윤서현, 염서현, 정다연 등","만 15세 이상","1시간 20분","공상집단 뚱딴지, 공상집단 뚱딴지","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289881_260422_095058.gif","PF289881"
"제17회 경산시립극단 정기공연, 남매지: 연꽃으로 피어나","2026.04.30","2026.05.02","경산시민회관 (대강당)","연극","박설하, 신동우, 박일용, 최영주, 박준용, 백수민, 김정현 등","김하나, 정철원, 김지선 등","만 13세 이상","1시간 40분","(주) 경산문화관광재단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289875_260421_135525.png","PF289875"
"제44회 대한민국연극제 경기도대회: 수유리, 고치지 못한것들","2026.04.25","2026.04.25","성남아트센터 (앙상블씨어터)","연극","손병희, 이주희, 강은주, 원인재, 이동숙, 강준구","조성일, 최미경, 김용년 등","만 7세 이상","1시간 30분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289871_260421_134038.png","PF289871"
"공부의 신 [대학로]","2026.05.01","2026.05.10","업스테이지 (UP Stage) (업스테이지 (UP Stage) )","연극","우두연, 호천, 선은규, 김윤미, 이윤미, 김리나, 방준용 등","진종현, 박종훈, 박상철 등","만 7세 이상","1시간 10분","위로컴퍼니, 위로컴퍼니, 위로팩토리, 위로팩토리","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF289870_260421_133919.jpg","PF289870"
