제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"갱물","2026.07.01","2026.07.01","삼일로창고극장 (삼일로창고극장)","연극","김선혜, 전소은, 송소연, 임채은, 이수빈","김민채, 신지환, 박지선, 변보원 등","만 10세 이상","1시간","혜람(hyeram creative), 혜람(hyeram creative)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294394_260623_105710.jpg","PF294394"
"시크릿 하우스 [부산]","2026.07.23","2026.09.13","BNK부산은행 조은극장 (1관)","연극","","한성운","만 14세 이상","1시간 20분","(주)조은아트플러스, BNK부산은행조은극장, 조은문화마을","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294389_260629_130145.gif","PF294389"
"제1회 N뮤즈페스티벌, 그 여자의 방","2026.07.14","2026.07.19","나인진홀 (구.청년극장) (나인진홀 3관(5F))","연극","김인경, 정다연, 김재아, 이지인, 서정","이지인, 서정, 이현 등","만 11세 이상","1시간 20분","(주) 나인진엔터테인먼트, 프로젝트 너울","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294388_260623_104557.gif","PF294388"
"마이 디어, 헬렌 [영덕]","2026.07.25","2026.07.26","예주문화예술회관 (예주문화예술회관)","연극","김선영, 주혜자, 김다빈, 김다현, 김연두, 김은서, 박믿음 등","김선영, 주혜자, 이동원","만 7세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294387_260623_104556.png","PF294387"
"갈매기: Melancholia [안산]","2026.07.03","2026.07.05","안산문화예술의전당 (달맞이극장)","연극","안성채, 김현정, 김대용, 서란, 송지은, 김남은, 김의현 등","강경동, 박상하, 조태준 등","만 12세 이상","2시간 15분","극단 범","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294385_260623_104109.gif","PF294385"
"제13회 대한민국 신진 연출가전, 손승명: 소년B","2026.07.18","2026.07.19","삼일로창고극장 (삼일로창고극장)","연극","정힘찬, 허정환, 김민식, 박상현, 송서영","손승명, 피재호, 김자빈 등","만 10세 이상","1시간 30분","극단 십삼월","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294384_260623_103627.jpeg","PF294384"
"제24회 경기인형극제 수원, 여우 까마귀 그리고 사자","2026.07.21","2026.07.22","경기아트센터(구. 경기도문화의전당) (소극장)","연극","","","36개월 이상","50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294367_260622_171745.jpg","PF294367"
"광주시립극단, 출장연극시리즈: 오스카와 장미할머니 [광주]","2026.08.01","2026.08.01","광주공연마루 (빛아트홀)","연극","양선아, 윤미란, 김여름, 정일행, 조아라","김지훈, 김명대, 신지호 등","만 5세 이상","1시간","광주시립극단, 전남광주통합특별시예술의전당 (구.광주예술의전당)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294366_260622_171116.jpg","PF294366"
"제44회 대한민국 연극제 부산: 덴동어미뎐, 그 오래된 이야기","2026.07.02","2026.07.02","(재) 영화의전당 (하늘연극장)","연극","추보경, 이은주, 최승미, 이은혜, 제성심, 서상연, 이정화 등","김미아, 장정임, 홍영숙 등","만 13세 이상","1시간 30분","춘천여성문화예술단 마실","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294364_260622_165402.png","PF294364"
"다시, 민들레 [영동]","2026.08.22","2026.08.22","영동복합문화예술회관 (영동복합문화예술회관)","연극","문창완, 박선혜, 오영석, 정수현","박춘근, 하동기, 장하다 등","만 7세 이상","1시간 30분","충북도립극단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294352_260622_154658.jpg","PF294352"
"제44회 대한민국연극제 부산, 성호가든","2026.07.23","2026.07.23","(재) 영화의전당 (하늘연극장)","연극","강지구, 최승완, 곽유평, 김선옥, 김나미, 김민성","한윤섭, 정선호, 임수정 등","만 14세 이상","1시간 35분","극단 라일락","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294351_260622_154545.png","PF294351"
"아버지 [춘천]","2026.07.09","2026.07.10","축제극장몸짓 (축제극장몸짓)","연극","송창언, 전은주, 이윤하, 우진호, 전시연, 김면수","정은경, 김정훈, 남궁진 등","만 13세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294348_260622_154017.jpg","PF294348"
"제24회 경기인형극제, 망태할아버지가 온다 [수원]","2026.07.18","2026.07.18","(재)경기문화재단 (예술인의집(다목적홀))","연극","","","만 2세 이상","50분","극단 문(門)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294341_260622_152946.jpg","PF294341"
"제44회 대한민국연극제 부산, 개는 물지 않는다","2026.07.17","2026.07.17","(재) 영화의전당 (하늘연극장)","연극","김헌근, 황윤희, 최동석, 송광일, 김진호, 조우숙, 임규섭","차근호, 고능석, 정대균 등","만 11세 이상","1시간 15분","(사)극단 현장 [진주]","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294340_260622_152402.png","PF294340"
"자객열전 Ⅱ. 안응칠 워크숍 [대학로]","2026.07.23","2026.08.02","연우소극장 (연우소극장)","연극","이해성, 이은정, 이설현, 고경태, 강연주","박상현, 이성곤, 남긍호 등","만 13세 이상","2시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294339_260622_152309.gif","PF294339"
"제44회 대한민국연극제 부산, 태풍이 온다","2026.07.21","2026.07.21","(재) 영화의전당 (하늘연극장)","연극","손흥민, 박혜진, 이희자, 유병선, 김환제, 조현이","김수미, 유병선, 임득균 등","만 16세 이상","1시간 40분","극단 청양","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294337_260622_151611.png","PF294337"
"제44회 대한민국연극제 부산, 만선","2026.07.04","2026.07.04","(재) 영화의전당 (하늘연극장)","연극","노광흔, 정윤희, 김종호, 오진우, 양미진, 송유화, 정지현 등","김원, 반무섭, 유혜린 등","만 11세 이상","1시간 40분","극단 뭉치들","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294333_260622_150908.png","PF294333"
"그 밤과 친구들","2026.07.23","2026.07.26","선돌극장 (선돌극장)","연극","신동일, 박승현, 박진현, 정우근, 김민정, 유하영","정영돈, 강상민, 이경환 등","만 14세 이상","1시간 50분","극단 비브라토(Vibrato), 극단 비브라토(Vibrato)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294330_260622_150241.gif","PF294330"
"여름 낭독 3부작: 1 초여름, 여름의 미토스","2026.07.02","2026.07.05","단막극장(구.대학로단막극장) (단막극장(구.대학로단막극장))","연극","김나은, 이시윤, 이준","윤예준, 박재윤, 노은우 등","전체 관람가","50분","극단 여름, 여류","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294322_260622_144415.gif","PF294322"
"맞선 [수원]","2026.10.17","2026.11.21","소극장 울림터 (극단 메카네) (소극장 울림터 (극단 메카네) )","연극","김민구, 박윤정, 서병찬, 이현선, 전진, 차병준 등","조경훈, 허인범 등","만 12세 이상","1시간 30분","극단 메카네","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294311_260622_141558.jpg","PF294311"
"제6회 대한민국 치유 예술제, 시간이 지나도","2026.07.04","2026.07.04","삼일로창고극장 (삼일로창고극장)","연극","진원진, 이경희, 정혜경, 송복렬, 문명은, 안보영, 최덕호 등","이종승, 강병민, 이화기 등","만 12세 이상","1시간","대한민국치유예술제 조직위원회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294301_260622_135309.jpg","PF294301"
"제6회 대한민국 치유예술제, 멍킷리스트","2026.07.05","2026.07.05","삼일로창고극장 (삼일로창고극장)","연극","강희수, 권다미, 박창욱, 이서진, 최정윤","박연주, 이비안, 이승남 등","만 12세 이상","1시간 10분","극단 피안, 대한민국치유예술제 조직위원회, 따듯한세상 사회적협동조합","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294293_260622_134058.jpg","PF294293"
